date_time,city,intensity_drought
2011-03-22,Atakpame,0
2011-03-23,Atakpame,0
2011-03-24,Atakpame,0
2011-03-25,Atakpame,0
2011-03-26,Atakpame,0
2011-03-27,Atakpame,0
2011-03-28,Atakpame,0
2011-03-29,Atakpame,0
2011-03-30,Atakpame,0
2011-03-31,Atakpame,0
2011-04-01,Atakpame,0
2011-04-02,Atakpame,0
2011-04-03,Atakpame,0
2011-04-04,Atakpame,0
2011-04-05,Atakpame,0
2011-04-06,Atakpame,0
2011-04-07,Atakpame,0
2011-04-08,Atakpame,0
2011-04-09,Atakpame,0
2011-04-10,Atakpame,0
2011-04-11,Atakpame,0
2011-04-12,Atakpame,0
2011-04-13,Atakpame,0
2011-04-14,Atakpame,0
2011-04-15,Atakpame,0
2011-04-16,Atakpame,0
2011-04-17,Atakpame,0
2011-04-18,Atakpame,0
2011-04-19,Atakpame,0
2011-04-20,Atakpame,0
2011-04-21,Atakpame,0
2011-04-22,Atakpame,0
2011-04-23,Atakpame,0
2011-04-24,Atakpame,0
2011-04-25,Atakpame,0
2011-04-26,Atakpame,0
2011-04-27,Atakpame,0
2011-04-28,Atakpame,0
2011-04-29,Atakpame,0
2011-04-30,Atakpame,0
2011-05-01,Atakpame,0
2011-05-02,Atakpame,0
2011-05-03,Atakpame,0
2011-05-04,Atakpame,0
2011-05-05,Atakpame,0
2011-05-06,Atakpame,0
2011-05-07,Atakpame,0
2011-05-08,Atakpame,0
2011-05-09,Atakpame,0
2011-05-10,Atakpame,0
2011-05-11,Atakpame,0
2011-05-12,Atakpame,0
2011-05-13,Atakpame,0
2011-05-14,Atakpame,0
2011-05-15,Atakpame,0
2011-05-16,Atakpame,0
2011-05-17,Atakpame,0
2011-05-18,Atakpame,0
2011-05-19,Atakpame,0
2011-05-20,Atakpame,0
2011-05-21,Atakpame,0
2011-05-22,Atakpame,0
2011-05-23,Atakpame,0
2011-05-24,Atakpame,0
2011-05-25,Atakpame,0
2011-05-26,Atakpame,0
2011-05-27,Atakpame,0
2011-05-28,Atakpame,0
2011-05-29,Atakpame,0
2011-05-30,Atakpame,0
2011-05-31,Atakpame,0
2011-06-01,Atakpame,0
2011-06-02,Atakpame,0
2011-06-03,Atakpame,0
2011-06-04,Atakpame,0
2011-06-05,Atakpame,0
2011-06-06,Atakpame,0
2011-06-07,Atakpame,0
2011-06-08,Atakpame,0
2011-06-09,Atakpame,0
2011-06-10,Atakpame,0
2011-06-11,Atakpame,0
2011-06-12,Atakpame,0
2011-06-13,Atakpame,0
2011-06-14,Atakpame,0
2011-06-15,Atakpame,0
2011-06-16,Atakpame,0
2011-06-17,Atakpame,0
2011-06-18,Atakpame,0
2011-06-19,Atakpame,0
2011-06-20,Atakpame,0
2011-06-21,Atakpame,0
2011-06-22,Atakpame,0
2011-06-23,Atakpame,0
2011-06-24,Atakpame,0
2011-06-25,Atakpame,0
2011-06-26,Atakpame,0
2011-06-27,Atakpame,0
2011-06-28,Atakpame,0
2011-06-29,Atakpame,0
2011-06-30,Atakpame,0
2011-07-01,Atakpame,0
2011-07-02,Atakpame,0
2011-07-03,Atakpame,0
2011-07-04,Atakpame,0
2011-07-05,Atakpame,0
2011-07-06,Atakpame,0
2011-07-07,Atakpame,0
2011-07-08,Atakpame,0
2011-07-09,Atakpame,0
2011-07-10,Atakpame,0
2011-07-11,Atakpame,0
2011-07-12,Atakpame,0
2011-07-13,Atakpame,0
2011-07-14,Atakpame,0
2011-07-15,Atakpame,0
2011-07-16,Atakpame,0
2011-07-17,Atakpame,0
